	null
C(=O)(c1c(cccc1Cl)Cl)O	L6J AG BVQ CG
C(=O)(c1c(c(ccc1Cl)Cl)Cl)O	L6J AG BVQ CG FG
C(=O)(c1c(c(ccc1)Cl)Cl)O	L6J AG BVQ FG
C(=O)(c1c(ccc(c1)Cl)Cl)O	L6J AG BVQ DG
C(=O)(c1c(cc(cc1)Cl)Cl)O	L6J AG BVQ EG
c1c(cc(c(c1)O)[N+](=O)[O-])[N+](=O)[O-]	L6J AKW DQ EKW
C(=O)(c1cc(cc(c1)Cl)Cl)O	L6J BVQ DG FG
C(=O)(c1cc(c(cc1)Cl)Cl)O	L6J BVQ EG FG
C(CN)c1ccc(cc1)O	L6J B2Z EQ
N(c1ccc(cc1)N=Nc1cc(ccc1)C)(C)C	L6J BN1&1 ENUN- BL6J F1
N(=Nc1ccccc1)c1ccc(cc1)N	L6J BNUN- BL6J EZ
Nc1ccccc1	L6J BZ
c1(c(c(ccc1)[N+](=O)[O-])[N+](=O)[O-])O	L6J AKW BQ FKW
S(Sc1ccc([N+](=O)[O-])c(C(=O)O)c1)c1ccc(c(c1)C(=O)O)[N+](=O)[O-]	L6J BSS- BL6J DVQ EKW& DVQ EKW
c1(c(c(c(cc1Cl)Cl)Cl)Cc1c(c(cc(c1Cl)Cl)Cl)O)O	L6J A1- BL6J AQ CG DG FG& BQ CG EG FG
C(=O)(c1ccc(cc1)Cl)O	L6J BVQ EG
c1c(ccc(c1)O)C(CC)(C)C	L6J AX1&1&2 DQ
C(C(CC)c1ccc(cc1)O)(CC)c1ccc(cc1)O	L6J BY2&Y- BL6J EQ&2 EQ
c1ccc(c(c1)O)C(CCC)C	L6J DQ EY1&3
Nc1c(cccc1C)C	L6J A1 BZ C1
c1ccc(c(c1Cl)O)Cl	L6J CG DQ EG
c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)O	L6J AG BQ CG DG EG FG
C(c1cc(cc(C(C)(C)C)c1O)COC)(C)(C)C	L6J BX1&1&1 CQ DX1&1&1 F1O1
Nc1c(cc(cc1C)C)C	L6J A1 BZ C1 E1
c1c(cc(c(c1Cl)O)Cl)Cl	L6J AG CG DQ EG
c1(c(cccc1)C(C)(C)C)O	L6J AX1&1&1 BQ
C(=O)(c1c(cccc1)Br)O	L6J AE BVQ
c1(c(cccc1)C(C)C)O	L6J AY1&1 BQ
Nc1c(cccc1)[N+](=O)[O-]	L6J AKW BZ
c1ccc(c(c1)O)[N+](=O)[O-]	L6J DQ EKW
c1(cc(cc(c1O)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]	L6J BKW CQ DKW FKW
C(=O)(c1c(cccc1)NC(=O)C)O	L6J AMV1 BVQ
c1ccc(c(c1)O)C(CC)C	L6J DQ EY1&2
C(=O)(c1ccc(cc1O)O)O	L6J BVQ CQ EQ
C(=O)c1c(cccc1)Cl	L6J AG BV
c1ccc(c(c1)O)CC	L6J DQ E2
Nc1c(cccc1)OC	L6J AO1 BZ
N(c1ccccc1)c1cccc2ccccc12	L6J BM- EL66J
c1ccc(c(c1)O)c1ccccc1	L6J DQ E- BL6J
c1c(c(c(cc1C)Cc1c(c(cc(c1)C)C(C)(C)C)O)O)Cc1cc(cc(c1O)C(C)(C)C)C	L6J A1- BL6J CQ DX1&1&1 F1& C1 E1- BL6J AQ D1 FX1&1&1& FQ
C(N(C)C)c1c(O)c(CN(C)C)cc(c1)CN(C)C	L6J AQ B1N1&1 D1N1&1 F1N1&1
c1ccc(c(c1OC)O)OC	L6J CO1 DQ EO1
C(=O)(c1c(cccc1)NS(=O)(=O)c1cc(c(cc1)O)N)O	L6J AMSW- BL6J EQ FZ& BVQ
C(=O)(c1ccc(cc1OC)OC)O	L6J BVQ CO1 EO1
N(c1ccccc1)(CC)CC	L6J BN2&2
c1(cccc(c1)O)N(CC)CC	L6J BN2&2 DQ
N(c1ccccc1)(Cc1ccccc1)Cc1ccccc1	L6J BN1- BL6J&1- BL6J
Nc1ccc(cc1)c1sc2c(n1)ccc(c2)C	L56 BS DNJ C- EL6J BZ& H1
N(c1ccccc1)(CC)CCCl	L6J BN2G2
Nc1ccc(cc1)N(CC)CC	L6J BZ EN2&2
c1c(ccc(c1)O)Nc1ccc2c(c1)cccc2	L6J AM- DL66J& DQ
c1(ccc(cc1)C(CNC)O)O	L6J BQ EYQ1M1
C(=O)c1ccc(cc1)N(C)CCCl	L6J BV EN2G1
Nc1ccccc1OCC	L6J BZ CO2
c1ccc(c(c1)OCC)O	L6J DO2 EQ
Nc1cc(ccc1OCC)OCC	L6J BZ CO2 FO2
c1(ccccc1Cl)N	L6J BZ CG
c1ccc(c(c1)N)O	L6J DZ EQ
c1ccc(c(c1)Br)O	L6J DE EQ
c1ccc(c(c1)Cl)O	L6J DG EQ
Nc1cc(c(cc1)Cl)Cl	L6J BZ EG FG
c1(c(cc(cc1)O)Cl)Cl	L6J AG BG EQ
Nc1cc(ccc1Cl)Cl	L6J BZ CG FG
c1(c(cc(c(c1)Cl)O)Cl)Cl	L6J AG BG DG EQ
Nc1c(cc(cc1)[N+](=O)[O-])[N+](=O)[O-]	L6J AKW BZ EKW
c1(c(ccc(c1)S(=O)(=O)C)O)[N+](=O)[O-]	L6J AQ BKW DSW1
c1(c(ccc(c1)S(=O)(=O)C)O)N	L6J AQ BZ DSW1
C(C)(C)(C)c1ccc(cc1)O	L6J BX1&1&1 EQ
C(=O)(c1ccc(cc1)C(C)(C)C)O	L6J BVQ EX1&1&1
C(=O)(c1cccc(c1)N)O	L6J BVQ DZ
C(=O)(c1cc(ccc1)O)O	L6J BVQ FQ
Nc1cc(ccc1)[N+](=O)[O-]	L6J BZ FKW
C(=O)(c1cc(cc(c1)O)O)O	L6J BVQ DQ FQ
C(=O)(c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-])O	L6J BVQ DKW FKW
C(=O)(c1ccc(c(c1)O)O)O	L6J BVQ DQ EQ
