VHM1  [2H]C(NC=O)([2H])[2H] CNC=O
E   [Br-]
Z1V2VQ  [2H]C(C(=O)CN)(CC(=O)O)[2H] NCC(=O)CCC(=O)O
G   [Cl-]
-LI- &G  [Li+].[Cl-] [Li].[Cl-]
SHCN  SC#N NC#S
-KA- &I  [K+].[I-] [K].[I-]
NN  N#N NN
E   [Br-]
O1  C=O C[O]
F   [F-]
I   [I-]
QV3SCN  N#CSCCCC(=O)O NC#SCCCC(=O)O
Q4SCN  OCCCCSC#N OCCCCS#CN
NCS2CN  N#CCCSC#N N#CSCC#CN
Q5SCN  OCCCCCSC#N OCCCCCS#CN
N1  C#N CN
I   [I-]
F   [F-]
F &-NA-  [F-].[Na+] [F-].[Na]
I   [I-]
6U3U8VM2I  CCCCCC=CCC=CCCCCCCCC(=O)NCC[123I] CCCCCC=CCC=CCCCCCCCC(=O)NCCI
6U3U3U3U4VM2I  CCCCCC=CCC=CCC=CCC=CCCCC(=O)NCC[123I] CCCCCC=CCC=CCC=CCC=CCCCC(=O)NCCI
Z1V2VQ  [2H]C(C(=O)C(N)([2H])[2H])(CC(=O)O)[2H] NCC(=O)CCC(=O)O
Z1V2VQ  [2H]C(C(=O)CCC(=O)O)(N)[2H] NCC(=O)CCC(=O)O
Z1CN &GH  NCC#N.Cl NC#CN.Cl
ZH  N [NH3+]
Z1CN  NCC#N NC#CN
-NA- &G  [Na+].[Cl-] [Na].[Cl-]
-NA- &I  [Na+].[123I-] [Na].[I-]
-NA- &I  [Na+].[131I-] [Na].[I-]
G &-KA-  [Cl-].[K+] [Cl-].[K]
F &-NA-  [18F-].[Na+] [F-].[Na]
ZH  [13NH3] [NH3+]
QH  [2H]O[2H] O
OO  O=O [O][O]
-LI-  [Li+] [Li]
Z2CN &Z2CN &QV1U1VQ  OC(=O)C=CC(=O)O.NCCC#N.NCCC#N OC(=O)C=CC(=O)O.NCC#CN.NCC#CN
Z2CN &QV1U1VQ  OC(=O)C=CC(=O)O.NCCC#N OC(=O)C=CC(=O)O.NCC#CN
NCS1SCN  N#CSCSC#N N#CSCS#CN
NC2CN  N#CCCC#N N#CCC#CN
F &-KA-  [F-].[K+] [F-].[K]
-NA- &I  [Na+].[I-] [Na].[I-]
-KA- &E  [K+].[Br-] [K].[Br-]
-NA- &E  [Na+].[Br-] [Na].[Br-]
Z2CN  NCCC#N NCC#CN
QSWO12 &ZH  CCCCCCCCCCCCOS(=O)(=O)O.N CCCCCCCCCCCCOS(=O)(=O)O.[NH3+]
NCS1UU4UU1SCN  N#CSC#CCCC#CSC#N N#CSC#CCCC#CS#CN
NC5O2O2O2O2O5CN  N#CCCCCCOCCOCCOCCOCCOCCCCCC#N N#CCCCCCOCCOCCOCCOCCOCCCCC#CN
ZVZ  N[14C](=O)N NC(=O)N
ZVZ  N[13C](=O)N NC(=O)N
QH  [3H]O[3H] O
G &-KA-  [Cl-].[42K+] [Cl-].[K]
-NA- &G  [22Na+].[Cl-] [Na].[Cl-]
QV15I  [123I]CCCCCCCCCCCCCCCC(=O)O ICCCCCCCCCCCCCCCC(=O)O
ZMV1CN  NNC(=O)CC#N NC#CC(=O)NN
-NA- &I  [Na+].[125I-] [Na].[I-]
QH  [15OH2] O
NC4CN  N#CCCCCC#N N#CCCCC#CN
QV4S12F  [18F]CCCCCCCCCCCCSCCCCC(=O)O FCCCCCCCCCCCCSCCCCC(=O)O
QV2S14F  [18F]CCCCCCCCCCCCCCSCCC(=O)O FCCCCCCCCCCCCCCSCCC(=O)O
QV2S5U9F  [18F]CCCCCCCCC=CCCCCSCCC(=O)O FCCCCCCCCC=CCCCCSCCC(=O)O
QV2S12F  [18F]CCCCCCCCCCCCSCCC(=O)O FCCCCCCCCCCCCSCCC(=O)O
ZV1CN  NC(=O)CC#N NC#CC(=O)N
ZH &ZH &QSWOOSWQ  OS(=O)(=O)OOS(=O)(=O)O.N.N OS(=O)(=O)OOS(=O)(=O)O.[NH3+].[NH3+]
Z4Z &GH  N[14CH2]CC[14CH2]N.Cl NCCCCN.Cl
NC2S2CN  N#CCCSCCC#N N#CCCSCC#CN
NC2O2O2CN  N#CCCOCCOCCC#N N#CCCOCCOCC#CN
NC1CN  N#CCC#N NC#CC#N
QV1CN  OC(=O)CC#N NC#CC(=O)O
NC1M1CN  N#CCNCC#N N#CCNC#CN
NC2O2CN  N#CCCOCCC#N N#CCCOCC#CN
QV1SCN  OC(=O)CSC#N NC#SCC(=O)O
-NA- &I  [Na+].[124I-] [Na].[I-]
QSWMSWQ &-NA-  OS(=O)(=O)NS(=O)(=O)O.[Na+] OS(=O)(=O)NS(=O)(=O)O.[Na]
