G2U1G	CHEMBL155926
VH1U2U2U2U3	CHEMBL503982
7U12U2UU1	CHEMBL500758
QSWMSWQ	CHEMBL1207990
Q2O2O2O2O2O2O2O2O2O2O2O2O2O2O2O2O2O2O2O2O2O2O2O2O2O12	CHEMBL503858
QSWO17	CHEMBL1207937
QV1MV10MV28S12	CHEMBL1206994
ZO4	CHEMBL6960
QV4U3U2U1V2U6	CHEMBL3310737
QV4U3U3U3U6	CHEMBL7594
Q2MV9UU2UU13	CHEMBL7864
QV1VQ	CHEMBL7942
Z3SSW1	CHEMBL3309328
QV8U9	CHEMBL8659
QV8U3U3U3	CHEMBL8739
VHM1	CHEMBL9240
VHM1	CHEMBL9081
1U1VO1	CHEMBL9019
VHM2	CHEMBL9421
6MVM1	CHEMBL11293
E	CHEMBL11685
Z3VQ	CHEMBL96
1VO1	CHEMBL14079
2OV1	CHEMBL14152
Q6	CHEMBL14085
QV1	CHEMBL539
Q4	CHEMBL14245
Z4	CHEMBL13968
QV3	CHEMBL14227
1V1	CHEMBL14253
QV2	CHEMBL14021
Z1VM1VM1VM1VM1VQ	CHEMBL14390
Z3	CHEMBL14409
Q5	CHEMBL14568
QV1G	CHEMBL14090
QV5	CHEMBL14184
Q2	CHEMBL545
Q3	CHEMBL14687
Q1	CHEMBL14688
Z2	CHEMBL14449
ZV4U3U3U3U6	CHEMBL15150
1O1O1	CHEMBL15537
6U3U3U3U4VM4	CHEMBL15566
9U8VM2	CHEMBL15509
WN2	CHEMBL15625
9U8VM2U1	CHEMBL15696
QV2VQ	CHEMBL576
Q2MV4U3U3U3U6	CHEMBL15848
2V1	CHEMBL15849
6U3U3U3U4VM1	CHEMBL15755
QV4U3U3U3U6	CHEMBL15594
9U8VM1	CHEMBL15926
ZVVQ	CHEMBL15976
1S1	CHEMBL15580
6H	CHEMBL15939
NC2	CHEMBL15871
6U3U3U3U4VM2	CHEMBL15873
5H	CHEMBL16102
ZV1	CHEMBL16081
G2G	CHEMBL16370
4UU1	CHEMBL16262
2O2	CHEMBL16264
3VO1	CHEMBL15859
NC1SWO2G	CHEMBL16673
2UU3U2U1S3VO1	CHEMBL16764
9U8VM3	CHEMBL16344
F2OSW2	CHEMBL16462
QV3S1U2U3U9	CHEMBL16979
E2OSW1	CHEMBL16990
G2MV1G	CHEMBL16693
12U2U1S3VO1	CHEMBL17067
F2OSW1	CHEMBL17071
G1SWO2F	CHEMBL17428
G2OSW1I	CHEMBL17267
Q12Q	CHEMBL17440
Z1V2VQ	CHEMBL601
G1SWO2	CHEMBL17309
9UU3U2U1S3VO1	CHEMBL17216
1H	CHEMBL17564
2M3M3M4M3M3M2	CHEMBL18083
VH7	CHEMBL18407
3M3M4M3M3	CHEMBL18111
2M12M2	CHEMBL18342
VH6	CHEMBL18104
2M4M3M2	CHEMBL18027
QV3V1U2U3U3U6	CHEMBL18028
2M3M4M3M2	CHEMBL18794
QVV1V9	CHEMBL18773
6V1	CHEMBL18549
Z1V2VQ	CHEMBL18851
VH4	CHEMBL18602
Z2SH	CHEMBL602
5V1	CHEMBL18893
G	CHEMBL19429
Z4M3Z	CHEMBL19612
1VMV1	CHEMBL18986
E1VMVM2	CHEMBL19522
ZVMV1E	CHEMBL19709
Z2M2M2Z	CHEMBL609
2V1U2U1V1	CHEMBL20573
ZVM2VQ	CHEMBL20962
12OSW1	CHEMBL23307
Q12	CHEMBL24722
Q9	CHEMBL24563
Q18	CHEMBL24640
9OSW1	CHEMBL24332
ZSWO8	CHEMBL24261
Q14	CHEMBL24022
ZSWO9	CHEMBL24343
Q13	CHEMBL24832
1SW1	CHEMBL25028
Q8	CHEMBL26215
1VO2SW1	CHEMBL25617
Q16	CHEMBL706
VH1UU1	CHEMBL722
Q15	CHEMBL26561
G1V2U7	CHEMBL27804
2M3M8M3M2	CHEMBL27909
VH1U1	CHEMBL721
