QV1	CC(=O)O
1V1	CC(=O)C
T56 BM DN FN HNJ IZ	c1[nH]c(c-2ncnc2n1)N
QY1&YZVQ	CC(C(C(=O)O)N)O
ZR DVQ	c1ccc(c(c1)C(=O)O)N
Z2VQ	C(CN)C(=O)O
VHR	c1ccc(cc1)C=O
471223	c1ccc(cc1)C=O
QVR	c1ccc(cc1)C(=O)O
T66 BOVJ E1 IOV1	Cc1cc(=O)oc2c1ccc(c2)OC(=O)C
T5OMVTJ DZ	C1C(C(=O)NO1)N
T5M CNJ DZ	c1c(nc[nH]1)N
T5M CNJ EZ	c1c(nc[nH]1)N
WNR DVH	c1cc(ccc1C=O)[N+](=O)[O-]
ZY1&VQ	CC(C(=O)O)N
QY1&VQ	CC(C(=O)O)O
T6MVMVTJ	C1CNC(=O)NC1=O
VHH	C=O
Z1VQ	C(C(=O)O)N
QV1Q	C(C(=O)O)O
SHCN	C(#N)S
T56 BMJ	c1ccc2c(c1)cc[nH]2
T56 BMJ D1VQ	c1ccc2c(c1)c(c[nH]2)CC(=O)O
QVYZ1Y1&1 &&DL or (RS)- Form	CC(C)CC(C(=O)O)N
T56 BMJ D1YVQM1	CNC(Cc1c[nH]c2c1cccc2)C(=O)O
T6NJ CVZ	c1cc(cnc1)C(=N)O
T6NJ CVQ	c1cc(cnc1)C(=O)O
ZR DVQ	c1cc(ccc1C(=O)O)N
QPQO&OPQO&OPQQO	OP(=O)(O)OP(=O)(O)OP(=O)(O)O
QVR BVQ	c1ccc(c(c1)C(=O)O)C(=O)O
QV2	CCC(=O)O
T6NJ BVQ CVQ	c1cc(c(nc1)C(=O)O)C(=O)O
QV2VQ	C(CC(=O)O)C(=O)O
T5N CSJ D2Q E1	Cc1c(scn1)CCO
1N1&1	CN(C)C
T56 BMJ D2Z	c1ccc2c(c1)c(c[nH]2)CCN
1MY1&1R	CC(Cc1ccccc1)NC
QVYQR DQ CO1	COc1cc(ccc1O)C(C(=O)O)O
Z10Z	C(CCCCCN)CCCCN
T B666 CN NNJ	c1cc2ccc3cccnc3c2nc1
T B566 BNVON HNJ	c1ccc2c(c1)ncc3n2c(=O)on3
T6NJ AO BSH &&Na salt	c1cc[n+](c(c1)[S-])[O-].[Na+]
T66 BVOJ DG EG	c1ccc2c(c1)c(c(oc2=O)Cl)Cl
