Z1YQ1	CC(CN)O
WNR BG ENW	C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl
GR BG DG	C1=CC(=C(C=C1Cl)Cl)Cl
Q2G	C(CCl)O
ZR BQ FVQ	C1=CC(=C(C(=C1)O)N)C(=O)O
ZR BQ FV1YZVQ	C1=CC(=C(C(=C1)O)N)C(=O)CC(C(=O)O)N
Z3VQ	C(CC(=O)O)CN
VHR DQ	C1=CC(=CC=C1C=O)O
QVR DQ	C1=CC(=CC=C1C(=O)O)O
T56 BMJ D1YZVQ GQ	C1=CC2=C(C=C1O)C(=CN2)CC(C(=O)O)N
T45 ANV ESTJ CZ F1 F1 GVQ	CC1(C(N2C(S1)C(C2=O)N)C(=O)O)C
Q2Q	C(CO)O
QV1	CC(=O)O
VH1	CC=O
ZV1	CC(=O)N
1V1	CC(=O)C
T56 BM DN FN HNJ IZ	C1=NC2=NC=NC(=C2N1)N
T56 BN DN FN HNJ IZ D- BT5OTJ CQ DQ E1Q	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N
QV4VQ	C(CCC(=O)O)CC(=O)O
QY1&YZVQ -L	CC(C(C(=O)O)N)O
T56 BN DN FN HNJ IZ D- BT5OTJ CQ DQ E1OPQQO	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O)N
MUYZM3YZVQ &GH	C(CC(C(=O)O)N)CN=C(N)N
ZV1YZVQ	C(C(C(=O)O)N)C(=O)N
T C666 BNJ EG IMY1&3N2&2 LO1 &GH 2	CCN(CC)CCCC(C)NC1=C2C=C(C=CC2=NC3=C1C=CC(=C3)Cl)OC.Cl
VHR	C1=CC=C(C=C1)C=O
RH	C1=CC=CC=C1
QVR	C1=CC=C(C=C1)C(=O)O
Q1R	C1=CC=C(C=C1)CO
QV1K1 & 1 & 1 & Q	C[N+](C)(C)CC(=O)[O-]
VH3	CCCC=O
Q4	CCCCO
QV3	CCCC(=O)O
QR BQ	C1=CC=C(C(=C1)O)O
WNR DYQY1QMVYGG	C1=CC(=CC=C1C(C(CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-]
QV1G	C(C(=O)O)Cl
L6V DVJ XG	C1=CC(=C(C=C1O)Cl)O
QV1XQVQ1VQ	C(C(=O)O)C(CC(=O)O)(C(=O)O)O
T66 BOVJ	C1=CC=C2C(=C1)C=CC(=O)O2
Q1R DY1&1	CC(C)C1=CC=C(C=C1)CO
VHR DY1 & 1	CC(C)C1=CC=C(C=C1)C=O
QR B1	CC1=CC=CC=C1O
QVR BQ	C1=CC=C(C(=C1)C(=O)O)O
QR BQ C1	CC1=C(C(=CC=C1)O)O
QR C1	CC1=CC(=CC=C1)O
8H	CCCCCCCC
QR CQ EQ	C1=C(C=C(C=C1O)O)O
QVR CQ DQ EQ	C1=C(C=C(C(=C1O)O)O)C(=O)O
