1V1	CC(=O)C
2O2	CCOCC
Q2Q	OCCO
WN1O1NW	[N](=O)([O-])COC[N](=O)[O-]
Z3Z	NCCCN
QV3VQ	OC(=O)CCCC(=O)O
ZV2VZ	NC(=O)CCC(=O)N
ZVM1MVZ	NC(=O)NCNC(=O)N
3O2	CCCOCC
QV1	OC(=O)C
2M1	CCNC
Z2VQ	NCCC(=O)O
2VO2	CCC(=O)OCC
1SVM1	CSC(=O)NC
1VOV1	CC(=O)OC(=O)C
Q2G	OCCCl
3M2	CCCNCC
Z2E	NCCBr
QV4	OC(=O)CCCC
E2E	BrCCBr
ZQ	NO
ZH	[NH3+]
QH	O
IH	I
QV1G	OC(=O)CCl
ZV2M1VQ	NC(=O)CCNCC(=O)O
2OVM1VO2	CCOC(=O)NCC(=O)OCC
12VM1	CCCCCCCCCCCCC(=O)NC
G1OS2S2	ClCOSCCSCC
QNU3	ON=CCC
2U2U1	CC=CC=C
MU2O1	N=CCOC	
ZVMNU2	NC(=O)NN=CC
SU3	S=CCC
1UU1	C#C
3UU2	CCC#CC
G1UU2	ClC#CC
G1UU1G	ClC#CCl
1NUCUNC1	CN=C=NCC
1U1U1	C=C=C
OCO	[O]C[O]
NCH	C#N
QNO	ON[O]
WNQ	[N](=O)([O-])O
ONONO	[O]NON[O]
NNU1	NN=C
2CN	CCC#N
2OCN	CCOC#N
2NCO	CCN=C=O	
SCN3	S=C=NCCC
NCS3	N=C=[S]CCC
OC2	O=C=CC
GH	Cl
EH	Br
2H	CC
10H	CCCCCCCCCC
VHVH	C(=O)C=O
VH3	C(=O)CCC
SH2Q	SCCO
SH2G	SCCCl
SH1M2	SCNCC
2Y2	CCC(CC)C
GXGGG	ClC(Cl)(Cl)Cl
G2N2&3	ClCCN(CC)CCC
2OPO&O2	CCOP([O])OCC
Q1XGG2Y1Q1Z	OCC(Cl)(Cl)CCC(CO)CN
1S2YZVMYVQS1	CSCCC(N)C(=O)NC(C(=O)O)SC
W-G-QO	[Cl](=O)([O-])(O)[O]
F-G-FF	F[Cl](F)F
12SW12	CCCCCCCCCCCC[S](=O)([O-])CCCCCCCCCCCC
WS2&12	[S](=O)([O-])(CC)CCCCCCCCCCCC
QVY9&19	OC(=O)C(CCCCCCCCC)CCCCCCCCCCCCCCCCCCC
12M1	CCCCCCCCCCCCNC
12N3&2	CCCCCCCCCCCCN(CCC)CC
19YQM1	CCCCCCCCCCCCCCCCCCCC(O)NC
QVY19&2Q	OC(=O)C(CCCCCCCCCCCCCCCCCCC)CCO
G1XGGYP3&3&&P2&2	ClCC(Cl)(Cl)C(P(CCC)CCC)P(CC)CC
OK2&2&2	[O][N+](CC)(CC)CC
WSQO1	[S](=O)([O-])(O)OC
2B2&2	CCB(CC)CC
ZXZUS	NC(=S)N
ZSW2	N[S](=O)([O-])CC
QVYZY2&2	OC(=O)C(N)C(CC)CC
QY	OC(C)C
1Y&N1&1	CC(C)N(C)C
2OVX	CCOC(=O)C(C)(C)C
